time,name,nationality,date,event
2:55:18,Johnny Hayes,United States,06/24/1908,London United Kingdom
2:52:45,Robert Fowler,United States,01/01/1909,Yonkers United States
2:46:53,James Clark,United States,02/12/1909,New York City United States
2:46:05,Albert Raines,United States,05/08/1909,New York City United States
2:42:31,Henry Barrett,United Kingdom,05/26/1909,Polytechnic Marathon London United Kingdom
2:40:34,Thure Johansson,Sweden,08/31/1909,Stockholm Sweden
2:38:16,Harry Green,United Kingdom,05/12/1913,Polytechnic Marathon
2:36:07,Alexis Ahlgren,Sweden,05/31/1913,Polytechnic Marathon
2:38:01,Umberto Blasi,Italy,11/29/1914,Legnano Italy
2:32:36,Hannes Kolehmainen,Finland,08/22/1920,Antwerp Belgium
2:29:02,Albert Michelsen,United States,10/12/1925,Port Chester United States
2:30:58,Harry Payne,United Kingdom,06/05/1929,London
2:26:14,Son Kitei,Japan,03/21/1935,Tokyo Japan
2:27:49,Fusashige Suzuki,Japan,03/31/1935,Tokyo Japan
2:26:44,Yasuo Ikenaka,Japan,04/03/1935,Tokyo Japan
2:26:42,Son Kitei,Japan,11/03/1935,Tokyo Japan
2:25:39,Suh Yun-bok,Korea,04/19/1947,Boston Marathon
2:20:42,Jim Peters,United Kingdom,06/14/1952,Polytechnic Marathon
2:18:40,Jim Peters,United Kingdom,06/13/1953,Polytechnic Marathon
2:18:35,Jim Peters,United Kingdom,10/04/1953,Turku Marathon
2:17:39,Jim Peters,United Kingdom,06/26/1954,Polytechnic Marathon
2:18:05,Paavo Kotila,Finland,08/12/1956,Pieksämäki Finland
2:15:17,Sergei Popov,Soviet Union,08/24/1958,Stockholm Sweden
2:15:16,Abebe Bikila,Ethiopia,09/10/1960,Rome Italy
2:15:16,Toru Terasawa,Japan,02/17/1963,Beppu-Ōita Marathon
2:14:28,Leonard Edelen,United States,06/15/1963,Polytechnic Marathon
2:14:43,Brian Kilby,United Kingdom,06/06/1963,Port Talbot Wales
2:13:55,Basil Heatley,United Kingdom,06/13/1964,Polytechnic Marathon
2:12:12,Abebe Bikila,Ethiopia,10/21/1964,Tokyo Japan
2:12:00,Morio Shigematsu,Japan,06/12/1965,Polytechnic Marathon
2:09:36,Derek Clayton,Australia,12/03/1967,Fukuoka Marathon
2:08:34,Derek Clayton,Australia,05/30/1969,Antwerp Belgium
2:09:29,Ron Hill,United Kingdom,06/23/1970,Edinburgh Scotland
2:09:12,Ian Thompson,United Kingdom,01/31/1974,Christchurch New Zealand
2:09:06,Shigeru So,Japan,02/05/1978,Beppu-Ōita Marathon
2:09:01,Gerard Nijboer,Netherlands,04/26/1980,Amsterdam Marathon
2:08:18,Robert De Castella,Australia,12/06/1981,Fukuoka Marathon
2:08:05,Steve Jones,United Kingdom,10/21/1984,Chicago Marathon
2:07:12,Carlos Lopes,Portugal,04/20/1985,Rotterdam Marathon
2:06:50,Belayneh Dinsamo,Ethiopia,04/17/1988,Rotterdam Marathon
2:06:05,Ronaldo da Costa,Brazil,09/20/1998,Berlin Marathon
2:05:42,Khalid Khannouchi,Morocco,10/24/1999,Chicago Marathon
2:05:38,Khalid Khannouchi,United States,04/14/2002,London Marathon
2:04:55,Paul Tergat,Kenya,09/28/2003,Berlin Marathon
2:04:26,Haile Gebrselassie,Ethiopia,09/30/2007,Berlin Marathon
2:03:59,Haile Gebrselassie,Ethiopia,09/28/2008,Berlin Marathon
2:03:38,Patrick Makau,Kenya,09/25/2011,Berlin Marathon
2:03:23,Wilson Kipsang,Kenya,09/29/2013,Berlin Marathon
